well_plate,ENSG,antibody,antibody_hpa_scores,compartment,variance_comp,gini_comp,isKnownCCD,mean_percvar_diff_from_random,wp_comp_kruskal_gaussccd_adj,log_10_pval_eq_percvar,pass_median_diff,pass_gauss,CCD_COMP,ccd_reason,peakExpressionPseudotime,nonccd_comp,ccd_unimodal,ccd_clust1,clust1_difffromrng,clust1_log10pval_percvar,ccd_clust2,ccd_clust2_difffromrng,ccd_clust2_log10pval_percvar,
A01_55245981,ENSG00000168159,HPA030098,Supported,Nuc,0.006087032,0.263851766,TRUE,0.268205435,4.00E-09,323.3062153,TRUE,TRUE,TRUE,Pseudotime,0,FALSE,TRUE,TRUE,0.33724675,323.3062153,FALSE,0.013782206,323.3062153,
A09_55385989,ENSG00000259120,HPA065721,Approved,Nuc,0.004174234,0.263370865,FALSE,0.282791912,3.86E-08,323.3062153,TRUE,TRUE,TRUE,Pseudotime,0,FALSE,TRUE,TRUE,0.256674347,323.3062153,TRUE,0.133304219,323.3062153,
B02_55215982,ENSG00000165732,HPA036592,Enhanced,Nuc,0.009160885,0.085776988,TRUE,0.081215147,0.002214941,323.3062153,TRUE,TRUE,TRUE,Pseudotime&Mitotic,0,FALSE,TRUE,FALSE,0,323.3062153,FALSE,0,323.3062153,
B02_55335984,ENSG00000129347,HPA043110,Enhanced,Nuc,0.001454001,0.123935693,FALSE,0.082037967,7.58E-05,323.3062153,TRUE,TRUE,TRUE,Pseudotime,0,FALSE,TRUE,FALSE,0,323.3062153,FALSE,0,323.3062153,
C01_55395990,ENSG00000168505,HPA067809,Approved,Nuc,0.005780434,0.220897907,TRUE,0.269133163,3.70E-06,323.3062153,TRUE,TRUE,TRUE,Pseudotime,0,FALSE,TRUE,FALSE,0,323.3062153,FALSE,0,323.3062153,
C03_55215982,ENSG00000090316,HPA036886,Enhanced,Nuc,0.000789633,0.20953844,TRUE,0.216667,7.00E-08,323.3062153,TRUE,TRUE,TRUE,Pseudotime,0,FALSE,TRUE,FALSE,0,323.3062153,FALSE,0,323.3062153,
C10_55215982,ENSG00000168497,HPA039325,Enhanced,Cyto,0.002663066,0.202590759,FALSE,0.084211033,0.130399678,323.3062153,TRUE,FALSE,TRUE,Pseudotime,0,FALSE,TRUE,FALSE,0,323.3062153,FALSE,0,323.3062153,
C11_55365987,ENSG00000145391,HPA058111,Enhanced,Nuc,0.00236004,0.142382233,TRUE,0.08132285,0.074330779,323.3062153,TRUE,FALSE,TRUE,Pseudotime&Mitotic,0,FALSE,TRUE,FALSE,0,323.3062153,FALSE,0,323.3062153,
E03_75836284,ENSG00000130035,HPA012638,Approved,Cell,2.20E-05,0.087498923,FALSE,0.097211894,0.303267483,323.3062153,TRUE,FALSE,TRUE,Pseudotime,0,FALSE,TRUE,FALSE,0,323.3062153,FALSE,0,323.3062153,
E08_55195978,ENSG00000121690,HPA015800,Approved,Nuc,0.003192452,0.168350975,FALSE,0.17891694,0.000269131,323.3062153,TRUE,TRUE,TRUE,Pseudotime,0,FALSE,TRUE,FALSE,0,323.3062153,FALSE,0,323.3062153,
