gene,name,ccd_transcript,regev_ccd,known_ccd,ccd_protein,nonccd_protein,mean_diff_from_rng,#NAME?,peakExpressionPseudotime
ENSG00000040275,SPDL1,TRUE,FALSE,TRUE,No                 ,FALSE,0.102114903,inf,0
ENSG00000072571,HMMR,TRUE,TRUE,TRUE,Pseudotime,FALSE,0.15520423,inf,0
ENSG00000088325,TPX2,TRUE,TRUE,TRUE,Pseudotime,FALSE,0.28929446,inf,0
ENSG00000089685,BIRC5,TRUE,TRUE,TRUE,Mitotic,FALSE,0.122718185,inf,0
ENSG00000101224,CDC25B,TRUE,FALSE,TRUE,Mitotic,FALSE,0.174501479,inf,0
ENSG00000104147,OIP5,TRUE,FALSE,TRUE,No                 ,FALSE,0.09688368,inf,0
ENSG00000114346,ECT2,TRUE,TRUE,TRUE,No                 ,TRUE,0.127980026,inf,0
ENSG00000117139,KDM5B,TRUE,FALSE,TRUE,No                 ,FALSE,0.08952991,inf,0
ENSG00000117399,CDC20,TRUE,TRUE,TRUE,Pseudotime,FALSE,0.28285847,inf,0
ENSG00000117650,NEK2,TRUE,TRUE,TRUE,No                 ,FALSE,0.212944272,inf,0
ENSG00000117724,CENPF,TRUE,TRUE,TRUE,Pseudotime,FALSE,0.231252171,inf,0
ENSG00000123975,CKS2,TRUE,TRUE,TRUE,No                 ,FALSE,0.247679023,inf,0
ENSG00000126787,DLGAP5,TRUE,TRUE,TRUE,Pseudotime,FALSE,0.228611827,inf,0
ENSG00000130669,PAK4,TRUE,FALSE,TRUE,No                 ,FALSE,0.105709418,inf,0
ENSG00000138180,CEP55,TRUE,FALSE,TRUE,Mitotic,FALSE,0.142212741,inf,0
ENSG00000140264,SERF2,TRUE,FALSE,FALSE,No                 ,FALSE,0.081944115,inf,0
ENSG00000149639,SOGA1,TRUE,FALSE,FALSE,No                 ,FALSE,0.110201494,inf,0
ENSG00000164611,PTTG1,TRUE,FALSE,TRUE,No                 ,FALSE,0.207790173,inf,0
ENSG00000164754,RAD21,TRUE,FALSE,TRUE,No                 ,FALSE,0.134011117,inf,0
ENSG00000166851,PLK1,TRUE,FALSE,TRUE,No                 ,FALSE,0.266825239,inf,0
ENSG00000170759,KIF5B,TRUE,FALSE,TRUE,No                 ,FALSE,0.13463639,inf,0
ENSG00000171863,RPS7,TRUE,FALSE,TRUE,No                 ,FALSE,0.09185712,inf,0
ENSG00000175216,CKAP5,TRUE,TRUE,TRUE,No                 ,FALSE,0.162745442,inf,0
ENSG00000185361,TNFAIP8L1,TRUE,FALSE,FALSE,No                 ,FALSE,0.160641387,inf,0
ENSG00000187514,PTMA,TRUE,FALSE,FALSE,No                 ,TRUE,0.080505381,inf,0
ENSG00000204899,MZT1,TRUE,FALSE,TRUE,No                 ,FALSE,0.104284238,inf,0
