ENSG,variance_rna,gini_rna,cv_rna,variance_comp_prot,gini_comp_prot,cv_comp_prot,variance_cell_prot,gini_cell_prot,cv_cell_prot
ENSG00000003137,0.015681949,0.569666944,1.1658016,0.000997771,0.343749476,0.869427206,0.001523031,0.335087583,0.935394005
ENSG00000003249,0.012363963,0.81824837,2.065672,0.002557469,0.109922207,0.202289221,0.000874536,0.14870831,0.266029602
ENSG00000004660,0.020068545,0.621668123,1.2609484,0.000875957,0.195031312,0.347569482,0.00079808,0.191554497,0.341200129
ENSG00000004779,0.017553372,0.159128379,0.28486013,5.32E-05,0.141346783,0.278964427,5.32E-05,0.141346783,0.278964427
ENSG00000004866,0.017315581,0.489002537,0.9454311,0.006153142,0.161937482,0.445736419,0.000886889,0.167545894,0.397380796
ENSG00000005194,0.012208707,0.290073926,0.5345561,0.000373918,0.158209983,0.326989915,0.000373918,0.158209983,0.326989915
ENSG00000005339,0.011954945,0.370736587,0.73105574,0.001118803,0.108825275,0.201480614,0.000252369,0.144887886,0.269317533
ENSG00000006118,0.015840106,0.429231229,0.8237614,0.000967426,0.181744828,0.393452026,0.000967426,0.181744828,0.393452026
ENSG00000006194,0.019169461,0.45528918,0.8608965,0.000451204,0.112053358,0.219257938,0.000966344,0.116047186,0.237306185
ENSG00000006459,0.015269074,0.833722917,2.204448,0.001547563,0.267994489,0.502441567,0.000145966,0.189879153,0.345118447
ENSG00000006468,0.008497562,0.940139516,3.9109328,0.000319412,0.169247684,0.443373805,5.55E-05,0.159541357,0.432896279
ENSG00000006634,0.015372021,0.336440392,0.62313694,0.001891389,0.125581892,0.227393019,0.000621935,0.129207415,0.234503236
ENSG00000006652,0.010869816,0.420523175,0.78480667,0.000766067,0.157863223,0.320970904,0.000766067,0.157863223,0.320970904
ENSG00000006704,0.024490518,0.51028326,0.970872,0.00068892,0.145348524,0.279308405,0.00068892,0.145348524,0.279308405
ENSG00000006747,0.011540444,0.931815355,3.653969,0.000267344,0.170484658,0.30992911,0.000351521,0.16145172,0.327982057
ENSG00000007202,0.014812935,0.338428515,0.67757803,0.000456473,0.178614948,0.337308745,9.16E-05,0.13111015,0.250147162
