Gene_name,amount_interactors,allinteractors,interactors_processed,IsBait
PSCA,99,AGPAT1;SLC44A5;ULBP3;GUF1;LAMB3;PLAUR;SEMA4F;WNT5A;SLC12A7;GLRB;LRP11;MFGE8;SGCB;GYLTL1B;PIGS;FAM132B;TMTC3;LOXL2;GPAA1;ATP7A;GALNS;ARSG;NXPH4;ITGA8;SLC12A2;BCHE;PIGK;PIGT;TMEM67;HLA-C;LRRC8E;METTL15;FAM5C;CACNA2D3;COL6A2;SEPN1;SPPL2B;EGFR;NOMO1;CLSTN1;ST3GAL4;CHID1;CERCAM;B4GALNT1;TGFBR1;TMEM2;HLA-B;SULF1;PLXNA1;PCSK9;SLC44A1;MAN2A2;DNAJA4;ADAMTS2;TXNDC15;FZD6;ITGAV;IDUA;GALNTL4;C3orf64;CD109;HYAL2;CACNA2D1;UGT3A2;ARSK;TCTN1;ST3GAL6;CDHR1;LARGE;GPC3;ITGA7;FAM69B;NAAA;C2orf28;GLB1L;FAM69A;CDC6;EXT2;PLXNA2;CACNA2D2;B3GNT2;SUSD1;GCNT1;GPR56;ANKRD46;ITGA4;POGLUT1;ADAM9;TGFBR3;GLT8D2;DGCR2;TRPM7;NFE2L3;MICA;PIGO;BMP7;ITGA6;MANEAL;VKORC1,AGPAT1;SLC44A5;ULBP3;GUF1;LAMB3;PLAUR;SEMA4F;WNT5A;SLC12A7;GLRB;LRP11;MFGE8;SGCB;GYLTL1B;PIGS;FAM132B;TMTC3;LOXL2;GPAA1;ATP7A;GALNS;ARSG;NXPH4;ITGA8;SLC12A2;BCHE;PIGK;PIGT;TMEM67;HLA-C;LRRC8E;METTL15;FAM5C;CACNA2D3;COL6A2;SEPN1;SPPL2B;EGFR;NOMO1;CLSTN1;ST3GAL4;CHID1;CERCAM;B4GALNT1;TGFBR1;TMEM2;HLA-B;SULF1;PLXNA1;PCSK9;SLC44A1;MAN2A2;DNAJA4;ADAMTS2;TXNDC15;FZD6;ITGAV;IDUA;GALNTL4;C3orf64;CD109;HYAL2;CACNA2D1;UGT3A2;ARSK;TCTN1;ST3GAL6;CDHR1;LARGE;GPC3;ITGA7;FAM69B;NAAA;C2orf28;GLB1L;FAM69A;CDC6;EXT2;PLXNA2;CACNA2D2;B3GNT2;SUSD1;GCNT1;GPR56;ANKRD46;ITGA4;POGLUT1;ADAM9;TGFBR3;GLT8D2;DGCR2;TRPM7;NFE2L3;MICA;PIGO;BMP7;ITGA6;MANEAL;VKORC1,Y
CPN1,4,BTBD1;KDM3B;CEP170;ALDH3A1,BTBD1;KDM3B;CEP170;ALDH3A1,Y
IQSEC2,1,IQSEC1,IQSEC1,Y
SSBP1,5,HERC2;NEURL4;IFI30;GOLPH3;NUDT12,HERC2;NEURL4;IFI30;GOLPH3;NUDT12,Y
S100B,125,DCLRE1B;ZNF709;S100B;PRIM2;ALAS1;CNTROB;ZBTB5;MORC4;PPFIBP1;TXNIP;SALL2;NOC4L;C12orf35;OFD1;FYTTD1;AHCTF1;UTP11L;FOXO3;CDKN2AIP;ERF;ORC6;ZBTB4;PUS7;ZNF714;TERF2;MAP7D3;MRPL30;HIC2;C5orf42;MTFR1;ARHGAP21;ATAD3A;CDK17;COX6B1;ZC3HC1;MYO1E;S100A4;GTF2F1;POLR3GL;ZNF451;NR2C2;MAP3K4;UBE3B;TTC28;ZNF516;RPL23;C3orf37;SALL3;ZNF295;DCAF13;MTMR12;FDXR;GFER;ATAD3B;PML;ZBED1;LOC81691;KDM2B;ZNF136;CCDC8;SENP5;RCOR2;NHSL1;NOP14;PPP1R13L;C21orf70;CCDC106;SGOL2;FLYWCH2;PIF1;FOXO4;NRIP1;POLD1;RICTOR;PRIM1;CTU1;LSM5;RAB11FIP1;SYDE2;MLLT11;SCML2;IQGAP2;ZBTB10;HEMK1;TTF2;ZNF764;PLCD3;ORC2;SENP2;CDK18;CCDC102A;ZNF507;ARID3B;CISD3;CCDC46;TIGD4;BCL7A;FAM178A;PEAK1;METTL18;RAVER1;CDC45;MAP7;TNKS1BP1;C18orf21;ATAD5;ZNF3;KDM3B;NSUN2;IQGAP1;ZNF536;POLDIP3;AGAP3;JAK1;ASB6;XRCC3;BCL7B;C12orf26;UTP14A;FAM64A;PHF8;S100P;INTS6;SALL1;PLEKHG3,DCLRE1B;ZNF709;PRIM2;ALAS1;CNTROB;ZBTB5;MORC4;PPFIBP1;TXNIP;SALL2;NOC4L;C12orf35;OFD1;FYTTD1;AHCTF1;UTP11L;FOXO3;CDKN2AIP;ERF;ORC6;ZBTB4;PUS7;ZNF714;TERF2;MAP7D3;MRPL30;HIC2;C5orf42;MTFR1;ARHGAP21;ATAD3A;CDK17;COX6B1;ZC3HC1;MYO1E;S100A4;GTF2F1;POLR3GL;ZNF451;NR2C2;MAP3K4;UBE3B;TTC28;ZNF516;RPL23;C3orf37;SALL3;ZNF295;DCAF13;MTMR12;FDXR;GFER;ATAD3B;PML;ZBED1;LOC81691;KDM2B;ZNF136;CCDC8;SENP5;RCOR2;NHSL1;NOP14;PPP1R13L;C21orf70;CCDC106;SGOL2;FLYWCH2;PIF1;FOXO4;NRIP1;POLD1;RICTOR;PRIM1;CTU1;LSM5;RAB11FIP1;SYDE2;MLLT11;SCML2;IQGAP2;ZBTB10;HEMK1;TTF2;ZNF764;PLCD3;ORC2;SENP2;CDK18;CCDC102A;ZNF507;ARID3B;CISD3;CCDC46;TIGD4;BCL7A;FAM178A;PEAK1;METTL18;RAVER1;CDC45;MAP7;TNKS1BP1;C18orf21;ATAD5;ZNF3;KDM3B;NSUN2;IQGAP1;ZNF536;POLDIP3;AGAP3;JAK1;ASB6;XRCC3;BCL7B;C12orf26;UTP14A;FAM64A;PHF8;S100P;INTS6;SALL1;PLEKHG3,Y
PHC2,9,SORT1;NAA11;CBX1;CBX4;SYNCRIP;RNF2;CBX8;RING1;CBX7,SORT1;NAA11;CBX1;CBX4;SYNCRIP;RNF2;CBX8;RING1;CBX7,N
AVPR2,104,PDXDC1;SYNGR2;ELOVL2;EXOC2;FITM2;MAD2L2;LASS6;BTAF1;PDS5A;NDUFB8;OSBPL8;RINT1;SGK196;ATP2B2;SLC30A5;SERINC1;BLK;TNFRSF10B;CHPT1;GOLGA5;STK17B;ATP8B2;SLC30A6;ST7;HMGCR;GXYLT2;ZMYM4;THADA;COQ5;FADS1;CLCN3;TTK;TMEM57;TNPO2;DYM;MFSD5;GOLPH3;ATRIP;ALG3;FAM20B;ATM;IPO8;IPO11;MZT2B;XPO6;HAUS7;KIAA1524;NR2F2;MFSD8;ABCB8;INTS12;SLC7A2;ATP13A3;SPPL3;ATP2B4;C14orf21;SLC35F5;HEATR2;SLC5A3;PDK1;TUBGCP2;SURF4;XPO7;SLC39A10;SLC25A46;PIGW;GJA1;ARV1;PIGN;SELT;ALG10;ATP8;FANCA;FAM108B1;VARS2;ATP2B3;SC5DL;PIGM;JPH1;DPY19L1;PAQR3;INTS1;FAM115C;XPO4;C9orf5;MAVS;ATL2;MRS2;SLC35F1;FNDC3A;VPS8;SLC19A2;YIPF3;EXOC3;GPR89A;FPGS;TMED1;STARD3;BRAT1;FASTKD1;TMEM160;TUBGCP4;NARS2;GLMN,PDXDC1;SYNGR2;ELOVL2;EXOC2;FITM2;MAD2L2;LASS6;BTAF1;PDS5A;NDUFB8;OSBPL8;RINT1;SGK196;ATP2B2;SLC30A5;SERINC1;BLK;TNFRSF10B;CHPT1;GOLGA5;STK17B;ATP8B2;SLC30A6;ST7;HMGCR;GXYLT2;ZMYM4;THADA;COQ5;FADS1;CLCN3;TTK;TMEM57;TNPO2;DYM;MFSD5;GOLPH3;ATRIP;ALG3;FAM20B;ATM;IPO8;IPO11;MZT2B;XPO6;HAUS7;KIAA1524;NR2F2;MFSD8;ABCB8;INTS12;SLC7A2;ATP13A3;SPPL3;ATP2B4;C14orf21;SLC35F5;HEATR2;SLC5A3;PDK1;TUBGCP2;SURF4;XPO7;SLC39A10;SLC25A46;PIGW;GJA1;ARV1;PIGN;SELT;ALG10;ATP8;FANCA;FAM108B1;VARS2;ATP2B3;SC5DL;PIGM;JPH1;DPY19L1;PAQR3;INTS1;FAM115C;XPO4;C9orf5;MAVS;ATL2;MRS2;SLC35F1;FNDC3A;VPS8;SLC19A2;YIPF3;EXOC3;GPR89A;FPGS;TMED1;STARD3;BRAT1;FASTKD1;TMEM160;TUBGCP4;NARS2;GLMN,Y
HSBP1,24,FARSB;CCDC53;EEA1;FAM24B;HSF2BP;C17orf59;CCHCR1;BEND3;POC1B;TMCC3;BSPRY;FAM9C;RNF175;RCAN2;C1orf190;NUF2;COG7;C12orf44;C3orf10;IFT57;GSX1;PLDN;STX11;S100A4,FARSB;CCDC53;EEA1;FAM24B;HSF2BP;C17orf59;CCHCR1;BEND3;POC1B;TMCC3;BSPRY;FAM9C;RNF175;RCAN2;C1orf190;NUF2;COG7;C12orf44;C3orf10;IFT57;GSX1;PLDN;STX11;S100A4,N
SERPINB6,4,KLK13;PLAT;SERPINB8;RIPK1,KLK13;PLAT;SERPINB8;RIPK1,Y
GLA,7,RDH14;ALG11;DEPDC5;NPRL2;NPRL3;HLA-DRA;TMEM205,RDH14;ALG11;DEPDC5;NPRL2;NPRL3;HLA-DRA;TMEM205,Y
