ENSG,Pathway,pathways_grouped,PathwayGroup,Gene_name
ENSG00000119673,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT2
ENSG00000177465,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT4
ENSG00000097021,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT7
ENSG00000101473,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT8
ENSG00000184227,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT1
ENSG00000136881,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,BAAT
ENSG00000205669,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT6
ENSG00000123130,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT9
ENSG00000170835,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,CEL
ENSG00000074416,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,MGLL
ENSG00000100344,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNPLA3
ENSG00000100997,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,ABHD12
ENSG00000115884,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,SDC1
ENSG00000134780,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DAGLA
ENSG00000142798,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,HSPG2
ENSG00000163686,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,ABHD6
ENSG00000164535,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DAGLB
ENSG00000175445,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,LPL
ENSG00000177666,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNPLA2
ENSG00000185000,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGAT1
ENSG00000277494,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,GPIHBP1
ENSG00000114771,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,AADAC
ENSG00000006757,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNPLA4
ENSG00000062282,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGAT2
ENSG00000079435,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,LIPE
ENSG00000101670,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,LIPG
ENSG00000166035,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,LIPC
ENSG00000175535,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNLIP
ENSG00000182333,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,LIPF
ENSG00000187021,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNLIPRP1
ENSG00000203837,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNLIPRP3
ENSG00000266200,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNLIPRP2
ENSG00000115159,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,GPD2
ENSG00000058866,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKG
ENSG00000065357,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKA
ENSG00000077044,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKD
ENSG00000102780,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKH
ENSG00000106384,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,MOGAT3
ENSG00000116906,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,GNPAT
ENSG00000124003,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,MOGAT1
ENSG00000136267,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKB
ENSG00000145214,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKQ
ENSG00000149091,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKZ
ENSG00000153933,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKE
ENSG00000157680,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKI
ENSG00000166391,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,MOGAT2
ENSG00000274588,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKK
ENSG00000006625,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GGCT
ENSG00000104687,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GSR
ENSG00000134864,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GGACT
ENSG00000183044,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ABAT
ENSG00000120053,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GOT1
ENSG00000125166,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GOT2
ENSG00000159423,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ALDH4A1
ENSG00000161653,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,NAGS
ENSG00000132744,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ACY3
ENSG00000166123,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GPT2
ENSG00000167701,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GPT
ENSG00000109576,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,AADAT
ENSG00000137944,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,KYAT3
ENSG00000169154,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GOT1L1
ENSG00000171097,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,KYAT1
ENSG00000198650,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,TAT
ENSG00000128683,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GAD1
ENSG00000136750,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GAD2
ENSG00000134333,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,LDHA
ENSG00000112294,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ALDH5A1
ENSG00000091483,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,FH
ENSG00000021826,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,CPS1
ENSG00000070669,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ASNS
ENSG00000108381,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ASPA
ENSG00000114021,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,NIT2
ENSG00000115419,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GLS
ENSG00000126522,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ASL
ENSG00000130707,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ASS1
ENSG00000135423,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GLS2
ENSG00000135821,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GLUL
