Gene,Gene_name,Reliability,Main_location,Additional_location,Extracellular_location,Enhanced,Supported,Approved,Uncertain,SCVintensity,SCVspatial,Cell_cycle_dependency,GO_id,compartment,Multilocalizing,SCV,mitosis,enzyme,Protein,IsCCD,IsNonCCD,IsInterphaseCCD,IsMitoticCCD,IsTranscriptRegCCD,IsNonTranscriptRegCCD,Melting Temperature (deg C),Log2 Length,Disordered Residue Fraction,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ENSG00000000003,TSPAN6,Approved,Cell Junctions;Cytosol,Nucleoli fibrillar center,,,,Cell Junctions;Cytosol;Nucleoli fibrillar center,,Cytosol,,,Cell Junctions (GO:0030054);Cytosol (GO:0005829);Nucleoli fibrillar center (GO:0001650),cell,TRUE,TRUE,False,FALSE,TSPAN6,False,False,False,False,False,False,64.27347748,,,,,,,,
ENSG00000000457,SCYL3,Uncertain,Microtubules,Nuclear bodies,,,,,Microtubules;Nuclear bodies,,,,Microtubules (GO:0015630);Nuclear bodies (GO:0016604),cell,TRUE,FALSE,False,FALSE,SCYL3,False,False,False,False,False,False,49.84783851,,,,,,,,
ENSG00000000938,FGR,Approved,Plasma membrane,Aggresome,,,,Aggresome;Plasma membrane,,,,,Aggresome (GO:0016235);Plasma membrane (GO:0005886),cyto,TRUE,FALSE,False,FALSE,FGR,False,False,False,False,False,False,,9.047123912,0.02268431,,,,,,
ENSG00000001084,GCLC,Approved,Nucleoplasm,Cytosol;Nucleoli,,,,Cytosol;Nucleoli;Nucleoplasm,,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654),cell,TRUE,TRUE,False,TRUE,GCLC,False,False,False,False,False,False,51.75426271,,,,,,,,
ENSG00000001167,NFYA,Supported,Nucleoplasm,,,,Nucleoplasm,,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,TRUE,NFYA,False,False,False,False,False,False,57.94805033,8.438791853,0.279538905,,,,,,
ENSG00000001460,STPG1,Approved,Nucleoplasm,,,,,Nucleoplasm,,,,,Nucleoplasm (GO:0005654),nuc,FALSE,FALSE,False,FALSE,STPG1,False,False,False,False,False,False,,8.383704292000001,0.28143712600000004,,,,,,
ENSG00000001497,LAS1L,Approved,Nucleoplasm,Centriolar satellite;Cytosol,,,Nucleoplasm,Centriolar satellite;Cytosol,,,,,Centriolar satellite (GO:0034451);Cytosol (GO:0005829);Nucleoplasm (GO:0005654),cell,TRUE,FALSE,False,FALSE,LAS1L,False,False,False,False,False,False,45.69832374,9.519636253,0.283378747,,,,,,
ENSG00000001629,ANKIB1,Supported,Cytosol;Plasma membrane,,,,Cytosol;Plasma membrane,,,,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886),cyto,TRUE,FALSE,False,FALSE,ANKIB1,False,False,False,False,False,False,47.6088211,,,,,,,,
ENSG00000001630,CYP51A1,Enhanced,Endoplasmic reticulum,,,Endoplasmic reticulum,,,,Endoplasmic reticulum,,,Endoplasmic reticulum (GO:0005783),cyto,FALSE,TRUE,False,TRUE,CYP51A1,False,False,False,False,False,False,46.05121842,,,,,,,,
ENSG00000001631,KRIT1,Uncertain,Vesicles,,,,,,Vesicles,,,,Vesicles (GO:0043231),cyto,FALSE,FALSE,False,FALSE,KRIT1,False,False,False,False,False,False,48.17359042,9.523561956,0.042119565,,,,,,
ENSG00000002016,RAD52,Approved,Nuclear speckles,Plasma membrane,,,,Nuclear speckles;Plasma membrane,,,,,Nuclear speckles (GO:0016607);Plasma membrane (GO:0005886),cell,TRUE,FALSE,False,FALSE,RAD52,False,False,False,False,False,False,,8.707359132,0.5382775120000001,,,,,,
ENSG00000002330,BAD,Enhanced,Mitochondria,,,Mitochondria,,,,,,,Mitochondria (GO:0005739),cyto,FALSE,FALSE,False,FALSE,BAD,False,False,False,False,False,False,56.03902214,7.392317423,0.892857143,,,,,,
ENSG00000002549,LAP3,Supported,Cytosol,Midbody;Nucleoplasm,,,Cytosol,Midbody;Nucleoplasm,,Midbody,,Midbody (biological definition),Cytosol (GO:0005829);Midbody (GO:0030496);Nucleoplasm (GO:0005654),cell,TRUE,FALSE,True,TRUE,LAP3,True,False,False,True,False,True,56.76989621,,,,,,,,
ENSG00000002586,CD99,Approved,Golgi apparatus,,,,,Golgi apparatus,,,,,Golgi apparatus (GO:0005794),cyto,FALSE,FALSE,False,FALSE,CD99,False,False,False,False,False,False,54.57000064,7.5313814610000005,0.724324324,,,,,,
ENSG00000002746,HECW1,Supported,Cytosol,,,,Cytosol,,,,,,Cytosol (GO:0005829),cyto,FALSE,FALSE,False,FALSE,HECW1,False,False,False,False,False,False,,10.64925618,0.380448319,,,,,,
ENSG00000002822,MAD1L1,Supported,Nuclear membrane;Nucleoplasm,,,,Nuclear membrane;Nucleoplasm,,,,,,Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654),nuc,TRUE,FALSE,False,FALSE,MAD1L1,False,False,False,False,False,False,46.22353784,,,,,,,,
ENSG00000002834,LASP1,Supported,Cytosol;Plasma membrane,Focal adhesion sites,,,Cytosol;Plasma membrane,Focal adhesion sites,,,,,Cytosol (GO:0005829);Focal adhesion sites (GO:0005925);Plasma membrane (GO:0005886),cyto,TRUE,FALSE,False,FALSE,LASP1,False,False,False,False,False,False,61.24411024,8.027905997000001,0.639846743,,,,,,
ENSG00000002919,SNX11,Approved,Cytosol,,,,,Cytosol,,,,,Cytosol (GO:0005829),cyto,FALSE,FALSE,False,FALSE,SNX11,False,False,False,False,False,False,50.17385459,8.076815597000001,0.255555556,,,,,,
ENSG00000003096,KLHL13,Approved,Cytosol,,,,,Cytosol,,,,,Cytosol (GO:0005829),cyto,FALSE,FALSE,False,FALSE,KLHL13,False,False,False,False,False,False,47.57202084,,,,,,,,
ENSG00000003147,ICA1,Supported,Cytosol;Vesicles,,,,Cytosol;Vesicles,,,Vesicles,,,Cytosol (GO:0005829);Vesicles (GO:0043231),cyto,TRUE,TRUE,False,FALSE,ICA1,False,False,False,False,False,False,48.93700519,,,,,,,,
ENSG00000003249,DBNDD1,Approved,Nuclear speckles,Cytosol,,,,Cytosol;Nuclear speckles,,Nuclear speckles,,,Cytosol (GO:0005829);Nuclear speckles (GO:0016607),cell,TRUE,TRUE,False,FALSE,DBNDD1,False,True,False,False,False,False,53.44655318,,,,,,,,
