uniprot_id,entry_version,protein_name,full_name,protein_existence,location,evidence,antibodies
A0A024RBG1,63,NUD4B_HUMAN,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,Protein inferred from homology,Cytoplasm,ECO:0000250,"17593,45232,47027,57684"
A0A075B6H7,49,KV37_HUMAN,Probable non-functional immunoglobulin kappa variable 3-7,Experimental evidence at protein level,Secreted;Cell membrane,ECO:0000303;ECO:0000303,47702
A0A075B6H8,47,KVD42_HUMAN,Probable non-functional immunoglobulin kappa variable 1D-42,Experimental evidence at protein level,Secreted;Cell membrane,ECO:0000303;ECO:0000303,48721
A0A075B6I0,55,LV861_HUMAN,Immunoglobulin lambda variable 8-61,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,27084
A0A075B6I3,38,LVK55_HUMAN,Probable non-functional immunoglobulin lambda variable 11-55,Experimental evidence at protein level,Secreted;Cell membrane,ECO:0000303;ECO:0000303,18912
A0A075B6I6,43,LV150_HUMAN,Probable non-functional immunoglobulin lambda variable 1-50,Experimental evidence at protein level,Secreted;Cell membrane,ECO:0000303;ECO:0000303,45373
A0A075B6I7,45,LV548_HUMAN,Probable non-functional immunoglobulin lambda variable 5-48,Experimental evidence at protein level,Secreted;Cell membrane,ECO:0000303;ECO:0000303,9419
A0A075B6I9,50,LV746_HUMAN,Immunoglobulin lambda variable 7-46,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,3182
A0A075B6J1,52,LV537_HUMAN,Immunoglobulin lambda variable 5-37,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,9419
A0A075B6K4,51,LV310_HUMAN,Immunoglobulin lambda variable 3-10,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,3285
A0A075B6K5,53,LV39_HUMAN,Immunoglobulin lambda variable 3-9,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,3285
A0A075B6N2,39,TVBT1_HUMAN,T cell receptor beta variable 20-1,Protein inferred from homology,Cell membrane,ECO:0000303,35408
A0A075B6S4,50,KVD17_HUMAN,Immunoglobulin kappa variable 1D-17,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,48721
A0A075B6S5,50,KV127_HUMAN,Immunoglobulin kappa variable 1-27,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,48721
A0A075B6S9,52,KV137_HUMAN,Probable non-functional immunoglobulinn kappa variable 1-37,Experimental evidence at protein level,Secreted;Cell membrane,ECO:0000303;ECO:0000303,48721
A0A075B6T6,47,TVAL2_HUMAN,T cell receptor alpha variable 12-2,Experimental evidence at protein level,Cell membrane,ECO:0000303,3065
A0A075B734,40,AQP7B_HUMAN,Aquaporin-7B,Protein inferred from homology,Membrane,ECO:0000255,"44049,48106,78250"
A0A075B759,49,PAL4E_HUMAN,Peptidyl-prolyl cis-trans isomerase A-like 4E,Protein inferred from homology,Cytoplasm,ECO:0000250,58345
A0A075B767,51,PAL4H_HUMAN,Peptidyl-prolyl cis-trans isomerase A-like 4H,Protein inferred from homology,Cytoplasm,ECO:0000250,58345
A0A087WSX0,49,LV545_HUMAN,Immunoglobulin lambda variable 5-45,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,9419
A0A087WSY6,55,KVD15_HUMAN,Immunoglobulin kappa variable 3D-15,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,47702
A0A087WSZ0,51,KVD08_HUMAN,Immunoglobulin kappa variable 1D-8,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,48721
A0A087WTH5,53,KCE1B_HUMAN,Putative potassium voltage-gated channel subfamily E member 1B,Protein uncertain,Membrane,ECO:0000255,"13752,75067"
A0A087WUL8,45,NBPFJ_HUMAN,Neuroblastoma breakpoint family member 19,Protein uncertain,Cytoplasm,ECO:0000305,"41335,42595,43105,43692,44023,46888,46971,58050,63248"
A0A087WVF3,50,TBC3D_HUMAN,TBC1 domain family member 3D,Experimental evidence at transcript level,Cell membrane,ECO:0000250,"46969,47745,52553"
A0A087WXS9,51,TBC3I_HUMAN,TBC1 domain family member 3I,Protein inferred from homology,Cell membrane,ECO:0000250,"46969,47745,52553"
A0A087X179,49,TBC3E_HUMAN,TBC1 domain family member 3E,Experimental evidence at transcript level,Cell membrane,ECO:0000250,"46969,47745,52553"
A0A087X1G2,48,TBC3K_HUMAN,TBC1 domain family member 3K,Protein inferred from homology,Cell membrane,ECO:0000250,"46969,47745,52553"
A0A096LNP1,48,D131B_HUMAN,Beta-defensin 131B,Protein inferred from homology,Secreted,ECO:0000305,"36185,52257"
A0A096LP01,46,SIM26_HUMAN,Small integral membrane protein 26,Protein inferred from homology,Membrane,ECO:0000255,68733
A0A096LP55,54,QCR6L_HUMAN,"Cytochrome b-c1 complex subunit 6-like, mitochondrial",Protein inferred from homology,Mitochondrion inner membrane,ECO:0000250,42574
A0A096LPK9,53,ORN4C_HUMAN,Olfactory receptor 4N4C,Protein inferred from homology,Membrane,ECO:0000255,"57442,75262"
A0A0A0MRZ8,51,KVD11_HUMAN,Immunoglobulin kappa variable 3D-11,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,47702
A0A0A0MT76,34,LJ01_HUMAN,Immunoglobulin lambda joining 1,Protein predicted,Secreted;Cell membrane,ECO:0000303;ECO:0000303,"46779,79470"
A0A0A6YYL3,58,POTEB_HUMAN,POTE ankyrin domain family member B,Experimental evidence at protein level,,,42822
A0A0B4J1U3,52,LV136_HUMAN,Immunoglobulin lambda variable 1-36,Experimental evidence at protein level,Secreted;Cell membrane,ECO:0000303;ECO:0000303,45373
A0A0B4J1W7,50,NPIA9_HUMAN,Nuclear pore complex-interacting protein family member A9,Protein inferred from homology,,,"45586,53611,59254"
A0A0B4J1Z2,43,KVD43_HUMAN,Immunoglobulin kappa variable 1D-43,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,48721
A0A0B4J2A2,50,PAL4C_HUMAN,Peptidyl-prolyl cis-trans isomerase A-like 4C,Experimental evidence at transcript level,Cytoplasm,ECO:0000250,58345
A0A0B4J2D5,52,GAL3B_HUMAN,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",Protein uncertain,Mitochondrion,ECO:0000305,"18517,77878"
A0A0B4J2D9,47,KVD13_HUMAN,Immunoglobulin kappa variable 1D-13,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,48721
A0A0B4J2F2,58,SIK1B_HUMAN,Putative serine/threonine-protein kinase SIK1B,Protein uncertain,,,"30934,30935,38211,60653,70453,78064"
A0A0C4DH25,47,KVD20_HUMAN,Immunoglobulin kappa variable 3D-20,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,47702
A0A0C4DH38,45,HV551_HUMAN,Immunoglobulin heavy variable 5-51,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,6014
A0A0C4DH55,52,KVD07_HUMAN,Immunoglobulin kappa variable 3D-7,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,47702
A0A0C4DH67,48,KV108_HUMAN,Immunoglobulin kappa variable 1-8,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,48721
A0A0C4DH69,44,KV109_HUMAN,Immunoglobulin kappa variable 1-9,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,48721
A0A0C4DH72,45,KV106_HUMAN,Immunoglobulin kappa variable 1-6,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,48721
A0A0C4DH73,49,KV112_HUMAN,Immunoglobulin kappa variable 1-12,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,48721
A0A0D9SF12,37,CC163_HUMAN,Transmembrane protein CCDC163,Experimental evidence at transcript level,Membrane,ECO:0000255,"53619,60390"
A0A0G2JMD5,44,PRA33_HUMAN,PRAME family member 33,Protein inferred from homology,,,"47421,48932"
A0A0J9YWL9,41,TX13C_HUMAN,Putative testis-expressed protein 13C,Protein uncertain,,,50072
A0A0J9YXX1,38,HV5X1_HUMAN,Immunoglobulin heavy variable 5-10-1,Protein inferred from homology,Secreted;Cell membrane,ECO:0000303;ECO:0000303,6014
A0A0K0K1B3,42,TVB30_HUMAN,T cell receptor beta variable 30,Protein inferred from homology,Cell membrane,ECO:0000303,29488
A0A0U1RQE8,35,GLYLB_HUMAN,Putative glycine N-acyltransferase-like protein 1B,Protein inferred from homology,,,39501
A0A0X1KG70,29,ORM2B_HUMAN,Olfactory receptor 4M2,Protein inferred from homology,Membrane,ECO:0000255,"47133,58889"
A0A140G945,40,CRYA2_HUMAN,Alpha-crystallin A2 chain,Experimental evidence at protein level,Cytoplasm;Nucleus,ECO:0000269;ECO:0000269,"37737,38430"
A0A183,79,LCE6A_HUMAN,Late cornified envelope protein 6A,Protein inferred from homology,,,46376
A0A1B0GTD5,25,TEX49_HUMAN,Testis-expressed protein 49,Protein predicted,,,"66635,75190,77522"
A0A1B0GTK5,24,F236D_HUMAN,Protein FAM236D,Protein inferred from homology,,,45048
A0A1B0GTQ4,33,MYMX_HUMAN,Protein myomixer,Protein inferred from homology,Cell membrane,ECO:0000250,51451
A0A1B0GTU1,37,ZC11B_HUMAN,Zinc finger CCCH domain-containing protein 11B,Protein predicted,,,"26439,28490,28526"
A0A1B0GU29,23,SIM28_HUMAN,Small integral membrane protein 28,Protein inferred from homology,Membrane,ECO:0000255,75479
A0A1B0GUI7,31,BRDOS_HUMAN,Putative uncharacterized protein BRD3OS,Protein uncertain,,,45437
A0A1B0GUQ0,28,F236A_HUMAN,Protein FAM236A,Protein inferred from homology,,,45048
A0A1B0GUS4,34,UB2L5_HUMAN,Ubiquitin-conjugating enzyme E2 L5,Experimental evidence at transcript level,,,"45609,62415"
A0A1B0GV03,27,GG6L7_HUMAN,Golgin subfamily A member 6-like protein 7,Protein inferred from homology,,,75975
A0A1B0GV22,29,F236B_HUMAN,Protein FAM236B,Protein inferred from homology,,,45048
A0A1B0GV85,31,RELD1_HUMAN,Reelin domain-containing protein 1,Experimental evidence at transcript level,Membrane,ECO:0000255,"66630,66649"
A0A1B0GVR7,21,F240C_HUMAN,Protein FAM240C,Protein inferred from homology,,,"43982,73342"
A0A1B0GVX0,30,LITAD_HUMAN,LITAF domain-containing protein,Protein uncertain,Membrane,ECO:0000255,52073
A0A1B0GVZ6,31,MB3LB_HUMAN,Methyl-CpG-binding domain protein 3-like 2B,Protein inferred from homology,,,"51259,60924,73654"
A0A1B0GW64,24,SIM33_HUMAN,Small integral membrane protein 33,Protein inferred from homology,Membrane,ECO:0000255,51440
A0A1W2PPF3,28,DUXB_HUMAN,Double homeobox protein B,Experimental evidence at transcript level,Nucleus,ECO:0000255,"41844,52668"
A0A1W2PPK0,23,CPHL2_HUMAN,Cytoplasmic polyadenylated homeobox-like protein 2,Protein inferred from homology,Nucleus,ECO:0000255,51383
A0A1W2PPM1,28,CPHXL_HUMAN,Cytoplasmic polyadenylated homeobox-like protein,Experimental evidence at transcript level,Nucleus,ECO:0000255,51383
A0A1W2PQ73,28,ERFL_HUMAN,ETS domain-containing transcription factor ERF-like,Protein inferred from homology,Nucleus,ECO:0000255,"47938,48338,72144,77554"
A0A1W2PR19,27,GSTT4_HUMAN,Glutathione S-transferase theta-4,Protein inferred from homology,Cytoplasm,ECO:0000305,28902
A0A2R8Y4L2,22,RA1L3_HUMAN,Heterogeneous nuclear ribonucleoprotein A1-like 3,Protein predicted,,,"1666,5812,77520"
A0A2R8Y619,25,H2BK1_HUMAN,Histone H2B type 2-K1,Protein inferred from homology,Chromosome;Nucleus,ECO:0000250;ECO:0000250,43013
A0A3B3IRV3,17,MCTS2_HUMAN,Malignant T-cell-amplified sequence 2,Protein inferred from homology,Cytoplasm,ECO:0000250,1045
A0A3B3IS91,17,PLGRF_HUMAN,POLG alternative reading frame,Experimental evidence at protein level,"Nucleus,nucleolus",ECO:0000269,"3885,51355,56821,59950,78482"
A0A3B3IT33,21,TR51G_HUMAN,Putative tripartite motif-containing protein 51G,Protein uncertain,,,"44988,77883"
A0A494C086,17,SPD21_HUMAN,Putative speedy protein E21,Protein uncertain,,,"44799,51750"
A0A494C0Z2,14,SPD13_HUMAN,Putative speedy protein E13,Protein uncertain,,,"44799,51750"
A0A494C191,16,SPD9_HUMAN,Putative speedy protein E9,Protein uncertain,,,"44799,51750"
A0A494C1R9,14,TSPY9_HUMAN,Testis-specific Y-encoded protein 9,Protein inferred from homology,Cytoplasm;Nucleus,ECO:0000250;ECO:0000250,"49384,67289"
A0A590UK83,10,SMI45_HUMAN,Protein SMIM45,Protein predicted,,,29815
A0AUZ9,111,KAL1L_HUMAN,KAT8 regulatory NSL complex subunit 1-like protein,Experimental evidence at protein level,,,"43102,46790"
A0AV02,113,S12A8_HUMAN,Solute carrier family 12 member 8,Experimental evidence at protein level,Membrane,ECO:0000305,31123
A0AV96,125,RBM47_HUMAN,RNA-binding protein 47,Experimental evidence at protein level,Nucleus,ECO:0000250,6347
A0AVF1,137,IFT56_HUMAN,Intraflagellar transport protein 56,Experimental evidence at protein level,"Cell projection,cilium",ECO:0000250,"36338,36339,61867"
A0AVI2,128,FR1L5_HUMAN,Fer-1-like protein 5,Experimental evidence at transcript level,Cell membrane;Membrane,ECO:0000250;ECO:0000305,"10786,49568"
A0AVI4,119,TM129_HUMAN,E3 ubiquitin-protein ligase TM129,Experimental evidence at protein level,Endoplasmic reticulum membrane,ECO:0000269,"47681,53826,60920"
A0AVK6,139,E2F8_HUMAN,Transcription factor E2F8,Experimental evidence at protein level,Nucleus,ECO:0000269,"31034,64882,71741,76614,78351"
A0AVT1,146,UBA6_HUMAN,Ubiquitin-like modifier-activating enzyme 6,Experimental evidence at protein level,,,"37000,37001,44870,72677"
A0FGR8,145,ESYT2_HUMAN,Extended synaptotagmin-2,Experimental evidence at protein level,Cell membrane;Endoplasmic reticulum membrane,ECO:0000269;ECO:0000269,"2132,70823"
A0FGR9,124,ESYT3_HUMAN,Extended synaptotagmin-3,Experimental evidence at protein level,Cell membrane;Endoplasmic reticulum membrane,ECO:0000269;ECO:0000269,"10731,10788,39200,48511,74889"
A0JLT2,128,MED19_HUMAN,Mediator of RNA polymerase II transcription subunit 19,Experimental evidence at protein level,Nucleus,ECO:0000305,"39912,40860"
A0JNW5,117,BLT3B_HUMAN,Bridge-like lipid transfer protein family member 3B,Experimental evidence at protein level,"Cytoplasm,cytosol;Early endosome",ECO:0000269;ECO:0000269,"39671,40399,75150"
A0JP26,112,POTB3_HUMAN,POTE ankyrin domain family member B3,Experimental evidence at protein level,,,42822
A0MZ66,133,SHOT1_HUMAN,Shootin-1,Experimental evidence at protein level,"Perikaryon;Cell projection,axon;Cell projection,growth cone;Cytoplasm,cytoskeleton;Cell projection,filopodium;Cell projection,lamellipodium",ECO:0000250;ECO:0000250;ECO:0000250;ECO:0000250;ECO:0000250;ECO:0000250,"37942,37943,75224"
A0PG75,103,PLS5_HUMAN,Phospholipid scramblase family member 5,Experimental evidence at transcript level,,,47249
A0PJE2,120,DHR12_HUMAN,Dehydrogenase/reductase SDR family member 12,Experimental evidence at transcript level,,,"40039,43945,57028,58315"
A0PJK1,131,SC5AA_HUMAN,Sodium/glucose cotransporter 5,Experimental evidence at protein level,Cell membrane,ECO:0000269,"52014,78525"
A0PJW6,107,TM223_HUMAN,Transmembrane protein 223,Experimental evidence at protein level,Mitochondrion inner membrane,ECO:0000269,"14504,62141"
A0PJW8,95,DAPL1_HUMAN,Death-associated protein-like 1,Experimental evidence at protein level,,,"46937,58635,76462"
A0PJX0,112,CIB4_HUMAN,Calcium and integrin-binding family member 4,Experimental evidence at protein level,,,"36130,36131"
A0PJX2,100,TLDC2_HUMAN,TLD domain-containing protein 2,Experimental evidence at transcript level,,,"47468,71126"
A0PJX4,108,SHSA3_HUMAN,Protein shisa-3 homolog,Experimental evidence at protein level,Endoplasmic reticulum membrane,ECO:0000250,"53902,54754,70496"
A0PJX8,94,TMM82_HUMAN,Transmembrane protein 82,Experimental evidence at transcript level,Membrane,ECO:0000305,"53241,60282"
A0PJY2,137,FEZF1_HUMAN,Fez family zinc finger protein 1,Experimental evidence at protein level,Nucleus,ECO:0000269,"42876,52118,64639,73693"
A0PJZ3,109,GXLT2_HUMAN,Glucoside xylosyltransferase 2,Experimental evidence at transcript level,Membrane,ECO:0000305,"68429,77411"
A0PK00,111,T120B_HUMAN,Transmembrane protein 120B,Experimental evidence at protein level,Nucleus inner membrane,ECO:0000250,14066
A0PK05,106,TMM72_HUMAN,Transmembrane protein 72,Experimental evidence at protein level,Membrane,ECO:0000305,39894
A0PK11,95,CLRN2_HUMAN,Clarin-2,Experimental evidence at protein level,"Cell projection,stereocilium membrane",ECO:0000250,42407
A1A4G5,97,LNP1_HUMAN,Leukemia NUP98 fusion partner 1,Experimental evidence at transcript level,,,"47926,63525"
