uniprot_id,entry_version,protein_name,full_name,protein_existence,location,evidence,antibodies,loc_eco,loc_eco_comment,loc_exp_evidence,UniProt_final_locations,UniProt_Corresponding_GOTerm,CorrespondingGOTerm_HPA,Corresponding_HPA_location
A0A140G945,40,CRYA2_HUMAN,Alpha-crystallin A2 chain,Experimental evidence at protein level,Cytoplasm;Nucleus,ECO:0000269;ECO:0000269,"37737,38430",Cytoplasm_ECO:0000269;Nucleus_ECO:0000269,,Cytoplasm;Nucleus,Cytoplasm;Nucleus,GO:0005737;GO:0005634,GO:0005737;GO:0005634,Cytosol;Nucleoplasm
A0A3B3IS91,17,PLGRF_HUMAN,POLG alternative reading frame,Experimental evidence at protein level,"Nucleus,nucleolus",ECO:0000269,"3885,51355,56821,59950,78482","Nucleus,nucleolus_ECO:0000269",,"Nucleus,nucleolus",nucleolus,GO:0005730,GO:0005730,Nucleoli
A0AVI4,119,TM129_HUMAN,E3 ubiquitin-protein ligase TM129,Experimental evidence at protein level,Endoplasmic reticulum membrane,ECO:0000269,"47681,53826,60920",Endoplasmic reticulum membrane_ECO:0000269,,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,GO:0005789,GO:0005783,Endoplasmic reticulum
A0AVK6,139,E2F8_HUMAN,Transcription factor E2F8,Experimental evidence at protein level,Nucleus,ECO:0000269,"31034,64882,71741,76614,78351",Nucleus_ECO:0000269,,Nucleus,Nucleus,GO:0005634,GO:0005634,Nucleoplasm
A0FGR8,145,ESYT2_HUMAN,Extended synaptotagmin-2,Experimental evidence at protein level,Cell membrane;Endoplasmic reticulum membrane,ECO:0000269;ECO:0000269,"2132,70823",Cell membrane_ECO:0000269;Endoplasmic reticulum membrane_ECO:0000269,,Cell membrane;Endoplasmic reticulum membrane,Cell membrane;Endoplasmic reticulum membrane,GO:0005886;GO:0005789,GO:0005783;GO:0005886,Plasma membrane;Endoplasmic reticulum
A0FGR9,124,ESYT3_HUMAN,Extended synaptotagmin-3,Experimental evidence at protein level,Cell membrane;Endoplasmic reticulum membrane,ECO:0000269;ECO:0000269,"10731,10788,39200,48511,74889",Cell membrane_ECO:0000269;Endoplasmic reticulum membrane_ECO:0000269,,Cell membrane;Endoplasmic reticulum membrane,Cell membrane;Endoplasmic reticulum membrane,GO:0005886;GO:0005789,GO:0005783;GO:0005886,Plasma membrane;Endoplasmic reticulum
A0JNW5,117,BLT3B_HUMAN,Bridge-like lipid transfer protein family member 3B,Experimental evidence at protein level,"Cytoplasm,cytosol;Early endosome",ECO:0000269;ECO:0000269,"39671,40399,75150","Cytoplasm,cytosol_ECO:0000269;Early endosome_ECO:0000269",,"Cytoplasm,cytosol;Early endosome",cytosol;Early endosome,GO:0005829;GO:0005769,GO:0005768;GO:0005829,Cytosol;Endosomes
A0PJK1,131,SC5AA_HUMAN,Sodium/glucose cotransporter 5,Experimental evidence at protein level,Cell membrane,ECO:0000269,"52014,78525",Cell membrane_ECO:0000269,,Cell membrane,Cell membrane,GO:0005886,GO:0005886,Plasma membrane
A0PJW6,107,TM223_HUMAN,Transmembrane protein 223,Experimental evidence at protein level,Mitochondrion inner membrane,ECO:0000269,"14504,62141",Mitochondrion inner membrane_ECO:0000269,,Mitochondrion inner membrane,Mitochondrion inner membrane,GO:0005743,GO:0005739,Mitochondria
A0PJY2,137,FEZF1_HUMAN,Fez family zinc finger protein 1,Experimental evidence at protein level,Nucleus,ECO:0000269,"42876,52118,64639,73693",Nucleus_ECO:0000269,,Nucleus,Nucleus,GO:0005634,GO:0005634,Nucleoplasm
